X,Y,State
-147.0,205.0,Punjab
-109.0,217.0,Himachal Pradesh
-63.0,189.0,Uttarakhand
-183.0,125.0,Rajasthan
-129.0,172.0,Haryana
-78.0,148.0,Uttar Pradesh
-213.0,39.0,Gujarat
-150.0,-51.0,Maharashtra
-126.0,-137.0,Karnataka
-126.0,-241.0,Kerala
-80.0,-225.0,Tamil Nadu
-69.0,-158.0,Andhra Pradesh
-71.0,-96.0,Telangana
41.0,-27.0,Odisha
-10.0,11.0,Chhattisgarh
-70.0,39.0,Madhya Pradesh
60.0,91.0,Bihar
56.0,45.0,Jharkhand
111.0,43.0,West Bengal
113.0,136.0,Sikkim
203.0,116.0,Assam
180.0,94.0,Meghalaya
236.0,161.0,Arunachal Pradesh
239.0,112.0,Nagaland
234.0,85.0,Manipur
210.0,57.0,Mizoram
184.0,58.0,Tripura
-176.0,-138.0,Goa

